"","spp","sp_code","Division","Family","Genus","Consv_stat","Native_stat","Coastal","Ha_pres","Ma_pres","Ka_pres","Oa_pres","Mo_pres","La_pres","Ke_pres","Ni_pres","Cover_D","Cover_1","Cover_2","Cover_3","CCE_Area","Vulnerability","Tolerate","Migrate","Micro_refugia","Eff_Mrf_A","Eff_Tol_A","Eff_Mig_A","Habqual_Mrg","Habqual_Tol","Habqual_Mig","Dispersion","Quality_avg","Area_avg","nonNat_comp","Pioneer","Winkout","Overlap_sp","Dist_Ces","p_tol_pts","n_fce_bioreg","Overlap_Ces","change_CE_A","Prox_to_top","Tot_A_MR","Tot_A_TL","Tot_A_MG","new_lava_MR","new_lava_TL","new_lava_MG","Hi_mod_A_MR","Hi_mod_A_TL","Hi_mod_A_MG","SLR_A_lost in_MR","Natvcov_MR","Natvcov_TL","Natvcov_MG","prot_A_MR","prot_A_TL","prot_A_MG","Ung_A_MR","Ung_A_TL","Ung_A_MG","Inv_MR","Inv_TL","Inv_MG","Frag_MR","Frag_TL","Frag_MG","ppt_grad_MR","Slope_MR","Asp_var_MR","SlopeVar_MR"
"672","Mucuna gigantea",673,"Dicot","Fabaceae","Mucuna","Apparently Secure","Indigenous","Coastal",1,1,1,1,1,0,0,0,"na","Wet_mesic_forest","Perennial_grassland","Wet_forest",2220.1542,0.35045425764722,"Medium","Large","Large","Very_large","Medium","Very_large","Small","Small","Small","Large","Small","Very_large","Yes","No","No","Yes","Medium","none","Many","Small","Medium_decrease","Far","Very_large","Medium","Very_large","Large","Medium","Large","Large","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Large","Large","Large","Medium","Low","Small","Large"
"673","Mucuna sloanei",674,"Dicot","Fabaceae","Mucuna","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Decidious_shrubland",717.9102,0.348424795217418,"Large","Very_large","Small","Small","Large","Very_large","Very_small","Medium","Large","Very_large","Medium","Large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Small","Large","Very_large","Medium","Medium","Medium","Medium","Small","Small","Large","Small","Medium","Large","Small","Medium","Medium","Small","Small","Large","Medium","Small","Medium","Large","Large","Small","High","Medium","Medium","Medium"
"674","Munroidendron racemosum",675,"Dicot","Araliaceae","Munroidendron","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"na","Wet_mesic_forest","Decidious_shrubland","Dry_forest",370.0611,0.482418334078222,"Small","Medium","Small","Medium","Small","Large","Very_small","Small","Very_small","Medium","Very_small","Medium","No","No","No","Yes","Large","Small","Few","Small","Medium_decrease","Far","Medium","Small","Large","Small","Small","Small","Large","Medium","Medium","Small","Small","Small","Small","Small","Large","Large","Small","Small","Small","Large","Large","Large","Large","Medium","Large","Low","Medium","Medium","Medium"
"675","Myoporum sandwicense",676,"Dicot","Myoporaceae","Myoporum","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,1,1,"na","Wet_forest","Perennial_grassland","Wet_mesic_forest",15931.6938,0.281948859090265,"Very_large","Large","Medium","Very_large","Very_large","Very_large","Very_small","Large","Medium","Large","Medium","Very_large","Yes","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Large","Medium","Large","Large","Medium","Large","Low","Low","Small","Large"
"676","Myrsine alyxifolia",677,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",61.3071,0.523561396141248,"Small","Small","Very_small","Very_small","Small","Small","Small","Medium","Small","Large","Small","Very_small","No","No","No","Yes","Medium","none","Few","Large","Small_decr_or_inc","Far","Very_small","Small","Small","Small","Small","Small","Small","Medium","Medium","Small","Small","Medium","Medium","Medium","Large","Large","Small","Small","Small","Large","Large","Large","Medium","Medium","Large","Medium","High","Large","Small"
"677","Myrsine degeneri",678,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Wet_mesic_forest",15.318,0.589704026216289,"Very_small","Very_small","Small","Very_small","Very_small","Very_small","Medium","Very_small","Very_small","Very_small","Small","Very_small","No","No","Yes","No","none","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","none","Small","Small","Small","Small","Large","none","none","Small","none","none","Medium","none","none","Small","Small","Small","Medium","none","none","High","High","Large","Small"
"678","Myrsine denticulata",679,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",90.1206,0.472572329219563,"Medium","Very_small","Medium","Small","Small","Very_small","Large","Large","Medium","Very_small","Large","Very_small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Close","Small","Small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Small","Medium","Large","Small","Medium","Large","Large","Small","Small","Small","High","Medium","Large","Medium"
"679","Myrsine emarginata",680,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,1,0,1,0,1,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",425.0025,0.411518955360398,"Large","Medium","Small","Medium","Medium","Small","Small","Very_large","Very_large","Small","Large","Medium","No","No","No","Yes","Medium","none","Many","Medium","Large_decrease","Close","Medium","Medium","Small","Small","Small","Small","Medium","Medium","Small","Small","Small","Large","Large","Small","Medium","Large","Small","Large","Large","Small","Small","Small","Large","Small","Small","High","High","Large","Small"
"680","Myrsine fernseei",681,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Decidious_shrubland",210.3147,0.425407744015123,"Medium","Medium","Small","Small","Small","Medium","Medium","Large","Medium","Medium","Large","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Small","Medium","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Medium","Small","Medium","Small","Medium","Medium","Small","Small","Large","Medium","Small","Small","High","High","Large","Small"
"681","Myrsine fosbergii",682,"Dicot","Myrsinaceae","Myrsine","Rare","Endemic","Non_coastal",0,0,1,1,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",939.0942,0.398859860339144,"Medium","Large","Medium","Large","Medium","Medium","Small","Medium","Very_large","Small","Medium","Medium","No","No","No","Yes","Medium","Medium","Few","Medium","Large_decrease","Far","Large","Medium","Medium","Small","Small","Small","Large","Small","Small","Small","Small","Medium","Large","Small","Large","Large","Small","Small","Large","Small","Large","Small","Large","Medium","Small","High","High","Large","Small"
"682","Myrsine helleri",683,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Decidious_shrubland",115.5681,0.448475638593874,"Medium","Small","Small","Very_small","Small","Very_small","Large","Very_large","Large","Medium","Large","Very_small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Very_small","Small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Small","Large","Large","Medium","Large","Large","Small","Medium","Medium","Small","Small","Small","High","High","Large","Small"
"683","Myrsine juddii",684,"Dicot","Myrsinaceae","Myrsine","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"Wet_forest","Wet_forest","Evergreen_shrubland","Wet_mesic_forest",26.2602,0.612303745581416,"Very_small","Very_small","Small","Very_small","Very_small","Very_small","Medium","Very_small","Very_small","Very_small","Very_small","Very_small","No","No","Yes","No","none","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","none","Small","none","none","Small","Large","none","none","Small","none","none","Small","none","none","Small","Small","Small","Large","none","none","High","High","Large","Small"
"684","Myrsine kauaiensis",685,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Decidious_shrubland",67.4199,0.476832949807516,"Medium","Medium","Small","Very_small","Small","Small","Medium","Medium","Large","Medium","Medium","Very_small","No","No","No","Yes","Large","none","Few","Medium","Medium_decrease","Far","Very_small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Small","Large","Large","Small","Medium","Small","Medium","Large","Small","Medium","Medium","Small","Medium","High","Large","Small"
"685","Myrsine knudsenii",686,"Dicot","Myrsinaceae","Myrsine","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",27.9369,0.604689715740781,"Very_small","Very_small","Small","Very_small","Very_small","Very_small","Medium","Very_small","Very_small","Very_small","Very_small","Very_small","No","No","Yes","No","none","Small","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","none","Medium","none","none","Small","Large","none","none","Large","none","none","Small","none","none","Large","Small","Small","Medium","none","none","Medium","Medium","Medium","Medium"
"686","Myrsine lanaiensis",687,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Perennial_grassland","Mesic_forest","Dry_forest",6088.1067,0.290099533819269,"Large","Very_large","Large","Very_large","Very_large","Very_large","Small","Medium","Large","Large","Medium","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Medium","Small","Small","Small","Large","Small","Medium","Large","Small","Large","Large","Medium","Large","Large","Large","Medium","Medium","Low","Medium","Medium","Medium"
"687","Myrsine lessertiana",688,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",9049.8465,0.275276512104443,"Very_large","Large","Large","Very_large","Very_large","Small","Small","Very_large","Very_large","Very_large","Large","Large","Yes","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Small","Large","Large","Large","Large","Large","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Medium","Small","Small","Large","Small","Small","Medium","Low","Small","Large"
"688","Myrsine linearifolia",689,"Dicot","Myrsinaceae","Myrsine","Vulnerable","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",285.4494,0.401978427410164,"Medium","Large","Medium","Small","Medium","Medium","Medium","Medium","Very_large","Medium","Large","Medium","No","No","No","Yes","Medium","Small","Few","Medium","Medium_decrease","Far","Small","Medium","Medium","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Medium","Large","Large","Small","Medium","Large","Small","Large","Small","Medium","Medium","Small","High","High","Large","Small"
"689","Myrsine mezii",690,"Dicot","Myrsinaceae","Myrsine","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",11.484,0.618760517910813,"Very_small","Very_small","Very_small","Very_small","Very_small","Very_small","Small","Very_small","Small","Very_small","Very_small","Very_small","No","No","No","No","Large","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","Small","Small","none","Medium","Small","Medium","none","Medium","Large","none","Large","Small","none","Small","Large","Small","Large","Large","none","Large","Medium","High","Medium","Small"
"690","Myrsine petiolata",691,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",409.743,0.425301932210754,"Medium","Medium","Small","Small","Medium","Small","Medium","Large","Very_large","Medium","Large","Small","No","No","No","Yes","Small","none","Few","Large","Medium_decrease","Far","Small","Medium","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Medium","Large","Large","Small","Medium","Large","Small","Large","Medium","Medium","Small","Small","High","High","Large","Small"
"691","Myrsine pukooensis",692,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,1,0,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",389.1627,0.387862331646054,"Large","Medium","Medium","Medium","Medium","Small","Medium","Very_large","Large","Large","Large","Medium","No","No","No","Yes","Medium","none","Many","Medium","Large_decrease","Far","Medium","Medium","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Small","Medium","Small","Medium","Large","Large","Small","Small","Medium","Large","Small","Small","High","High","Large","Small"
"692","Myrsine punctata",693,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,1,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",271.1871,0.419933356821826,"Medium","Large","Small","Small","Medium","Medium","Medium","Medium","Very_large","Small","Large","Medium","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Close","Small","Medium","Medium","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Medium","Large","Large","Medium","Medium","Large","Medium","Large","Small","Medium","Medium","Small","High","High","Large","Small"
"693","Myrsine sandwicensis",694,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",1,1,0,1,1,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",5779.4652,0.230573868048178,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Very_large","Large","Large","Large","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Large","Large","Small","Large","Large","Small","Small","Large","Large","Small","Small","Medium","Medium","Medium","Large"
"694","Myrsine vaccinioides",695,"Dicot","Myrsinaceae","Myrsine","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Dry_forest",13.9734,0.510840033643817,"Small","Small","Small","Very_small","Very_small","Very_small","Large","Medium","Large","Very_small","Large","Very_small","No","No","No","Yes","Large","Medium","Few","Medium","Large_decrease","Close","Very_small","Very_small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Small","Small","Small","Large","Large","Large","Medium","Large","Small","Small","Small","Small","High","High","Medium","Small"
"695","Myrsine wawraea",696,"Dicot","Myrsinaceae","Myrsine","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",116.9442,0.425148811444825,"Medium","Medium","Medium","Small","Small","Small","Medium","Large","Large","Medium","Large","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Very_small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Medium","Medium","Large","Large","Medium","Large","Small","Small","Small","High","High","Large","Small"
"696","Nama sandwicensis",697,"Dicot","Boraginaceae","Nama","Vulnerable","Endemic","Coastal",1,1,1,1,1,1,0,1,"na","Decidious_shrubland","Dry_forest","Perennial_grassland",1237.5216,0.461092645902882,"Small","Medium","Medium","Large","Small","Large","Very_small","Very_small","Very_small","Small","Very_small","Medium","Yes","No","No","Yes","Large","none","Many","Small","Large_decrease","Close","Very_large","Small","Large","Large","Large","Large","Large","Large","Medium","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Medium","Large","Large","Large","Large","Low","Low","Small","Large"
"697","Nephrolepis cordifolia",698,"Pteridophyte","Nephrolepidaceae","Nephrolepis","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",5384.2779,0.194850211075594,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Medium","Very_large","Very_large","Large","Large","Very_large","Yes","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Medium","Medium","Medium","Small","Small","Medium","Medium","Medium","Large"
"698","Nephrolepis exaltata",699,"Pteridophyte","Nephrolepidaceae","Nephrolepis","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,1,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",7494.3432,0.261863387009042,"Large","Very_large","Large","Very_large","Very_large","Very_large","Small","Medium","Very_large","Large","Medium","Very_large","Yes","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Large","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Small","Medium","Large","Medium","Small","Medium","Low","Small","Large"
"699","Neraudia angulata",700,"Dicot","Urticaceae","Neraudia","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Wet_mesic_forest","Perennial_grassland","Evergreen_shrubland",182.5974,0.526150400301443,"Small","Small","Small","Small","Small","Small","Very_small","Small","Medium","Small","Small","Small","No","No","No","Yes","Medium","Medium","Few","Medium","Large_decrease","Far","Small","Small","Small","Small","Small","Small","Large","Small","Small","Small","Small","Small","Large","Small","Large","Medium","Small","Medium","Large","Large","Large","Large","Large","Large","Medium","Low","Medium","Large","Medium"
"700","Neraudia kauaiensis",701,"Dicot","Urticaceae","Neraudia","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_mesic_forest","Wet_mesic_forest","Mesic_forest","Decidious_shrubland",147.5226,0.502730640887437,"Small","Small","Small","Small","Small","Small","Small","Small","Medium","Medium","Small","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Small","Small","Small","Small","Small","Small","Medium","Medium","Small","Small","Medium","Large","Large","Large","Large","Small","Small","Small","Large","Large","Large","Large","Large","Medium","Low","High","Medium","Small"
"701","Neraudia melastomifolia",702,"Dicot","Urticaceae","Neraudia","Apparently Secure","Endemic","Non_coastal",0,1,1,1,1,0,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",1346.9427,0.33629974482057,"Large","Large","Medium","Large","Large","Large","Small","Medium","Large","Large","Medium","Large","No","No","No","Yes","Medium","Medium","Many","Medium","Medium_decrease","Far","Large","Large","Large","Small","Small","Small","Large","Small","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Small","Large","Medium","Large","Medium","Small","High","High","Large","Small"
"702","Neraudia ovata",703,"Dicot","Urticaceae","Neraudia","Endangered","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"na","Perennial_grassland","Mesic_forest","Dry_forest",1377.8784,0.323751577786847,"Large","Large","Medium","Large","Large","Very_large","Very_small","Medium","Medium","Very_large","Medium","Very_large","No","Yes","No","Yes","Medium","Medium","Many","Large","Small_decr_or_inc","Far","Large","Large","Very_large","Large","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Large","Medium","Small","Medium","Large","Large","Medium","Large","Large","Medium","Medium","Low","Low","Small","Large"
"703","Neraudia sericea",704,"Dicot","Urticaceae","Neraudia","Endangered","Endemic","Non_coastal",0,1,0,0,1,1,1,0,"na","Perennial_grassland","Dry_forest","Decidious_shrubland",438.2343,0.491404790177605,"Small","Small","Small","Medium","Medium","Medium","Very_small","Very_small","Very_small","Small","Very_small","Medium","No","No","No","Yes","Large","none","Many","Small","Large_decrease","Close","Medium","Medium","Medium","Medium","Medium","Medium","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Medium","Medium","Medium","Large","Large","Large","Large","Large","Large","Low","Medium","Medium","Medium"
"704","Nesoluma polynesicum",705,"Dicot","Sapotaceae","Nesoluma","Vulnerable","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_mesic_forest","Perennial_grassland","Decidious_shrubland",2759.9976,0.354052936926611,"Medium","Large","Medium","Very_large","Large","Very_large","Very_small","Very_small","Small","Large","Small","Very_large","No","No","No","Yes","Medium","Medium","Many","Medium","Medium_decrease","Far","Very_large","Large","Large","Medium","Medium","Medium","Large","Large","Medium","Small","Small","Small","Small","Small","Small","Medium","Small","Medium","Medium","Large","Large","Large","Large","Large","Medium","Low","Medium","Medium","Medium"
"705","Nestegis sandwicensis",706,"Dicot","Oleaceae","Nestegis","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Perennial_grassland","Wet_mesic_forest","Mesic_forest",6541.3206,0.285210591516999,"Large","Very_large","Large","Very_large","Very_large","Very_large","Very_small","Small","Large","Very_large","Small","Very_large","Yes","No","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Large","Large","Large","Large","Medium","Small","Small","Small","Medium","Small","Small","Medium","Small","Medium","Large","Large","Medium","Large","Large","Medium","Small","Low","Medium","Medium","Large"
"706","Nothocestrum breviflorum",707,"Dicot","Solanaceae","Nothocestrum","Endangered","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"na","Mesic_forest","Perennial_grassland","Dry_forest",2717.7849,0.282129017263419,"Large","Very_large","Medium","Large","Large","Very_large","Small","Medium","Very_large","Very_large","Medium","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Large","Large","Very_large","Large","Large","Large","Large","Medium","Medium","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Medium","Medium","Large","Medium","Small","Low","Low","Small","Large"
"707","Nothocestrum latifolium",708,"Dicot","Solanaceae","Nothocestrum","Rare","Endemic","Non_coastal",0,1,1,1,1,1,0,0,"na","Wet_mesic_forest","Perennial_grassland","Decidious_shrubland",3225.771,0.355577442198109,"Medium","Large","Medium","Very_large","Large","Large","Very_small","Small","Medium","Large","Small","Very_large","No","No","No","Yes","Medium","Large","Many","Medium","Medium_decrease","Far","Very_large","Large","Large","Medium","Medium","Medium","Large","Large","Small","Small","Small","Small","Medium","Small","Small","Medium","Small","Medium","Large","Large","Large","Large","Large","Large","Medium","Low","Medium","Medium","Medium"
"708","Nothocestrum longifolium",709,"Dicot","Solanaceae","Nothocestrum","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",7171.0434,0.226624746823052,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Large","Large","Very_large","Medium","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Large","Large","Large","Large","Small","Small","Small","Medium","Large","Small","Medium","Medium","Small","Medium","Large","Medium","Small","Large","Large","Small","Small","Medium","Medium","Small","Large"
"709","Nothocestrum peltatum",710,"Dicot","Solanaceae","Nothocestrum","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",70.0992,0.557372297669316,"Very_small","Very_small","Small","Small","Very_small","Very_small","Small","Medium","Small","Very_small","Small","Very_small","No","No","No","Yes","Large","Small","Few","Small","Large_decrease","Close","Small","Very_small","Very_small","Small","Small","Small","Medium","Medium","Medium","Small","Medium","Large","Medium","Large","Large","Large","Small","Small","Small","Large","Large","Large","Large","Medium","Large","Low","Medium","Medium","Medium"
"710","Nothoperanema rubiginosa",711,"Pteridophyte","Dryopteridaceae","Nothoperanema","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",2147.1732,0.250928864646315,"Large","Medium","Very_large","Very_large","Large","Small","Large","Very_large","Large","Medium","Very_large","Large","No","No","No","Yes","Medium","Medium","Many","Medium","Medium_decrease","Close","Large","Large","Small","Medium","Large","Medium","Medium","Medium","Small","Small","Large","Large","Large","Large","Large","Large","Medium","Large","Large","Medium","Small","Small","Small","Small","Medium","Medium","Low","Small","Large"
"711","Nototrichium divaricatum",712,"Dicot","Amaranthaceae","Nototrichium","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",59.6295,0.523561396141248,"Small","Small","Very_small","Very_small","Small","Small","Small","Medium","Small","Large","Small","Very_small","No","No","No","Yes","Medium","none","Few","Large","Small_decr_or_inc","Far","Very_small","Small","Small","Small","Small","Small","Small","Medium","Medium","Small","Small","Medium","Medium","Medium","Large","Large","Small","Small","Small","Large","Large","Large","Medium","Medium","Large","Medium","High","Large","Small"
"712","Nototrichium humile",713,"Dicot","Amaranthaceae","Nototrichium","Endangered","Endemic","Non_coastal",0,1,0,1,0,0,0,0,"na","Perennial_grassland","Dry_forest","Wet_mesic_forest",663.7158,0.462980218980443,"Small","Medium","Small","Medium","Medium","Large","Small","Very_small","Small","Medium","Very_small","Medium","No","No","No","Yes","Medium","Medium","Few","Medium","Medium_decrease","Far","Medium","Medium","Large","Medium","Medium","Medium","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Medium","Large","Large","Large","Large","Large","Low","Medium","Large","Medium"
"713","Nototrichium sandwicense",714,"Dicot","Amaranthaceae","Nototrichium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,1,1,"na","Perennial_grassland","Wet_mesic_forest","Decidious_shrubland",6560.5005,0.327585587821566,"Large","Large","Medium","Very_large","Very_large","Very_large","Very_small","Small","Medium","Medium","Small","Very_large","Yes","Yes","No","Yes","Medium","none","Many","Medium","Medium_decrease","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Large","Medium","Large","Small","Small","Large","Small","Medium","Medium","Small","Medium","Large","Large","Medium","Large","Large","Large","Medium","Low","Low","Small","Large"
"714","Ochrosia compta",715,"Dicot","Apocynaceae","Ochrosia","Rare","Endemic","Non_coastal",0,0,0,1,1,0,0,0,"na","Wet_mesic_forest","Mesic_forest","Perennial_grassland",495.5535,0.461665584709675,"Small","Medium","Small","Medium","Medium","Medium","Very_small","Small","Medium","Small","Small","Medium","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Far","Medium","Medium","Medium","Small","Small","Small","Large","Medium","Small","Small","Small","Small","Large","Small","Medium","Medium","Small","Medium","Medium","Medium","Large","Medium","Large","Large","Small","Medium","Medium","Large","Medium"
"715","Ochrosia haleakalae",716,"Dicot","Apocynaceae","Ochrosia","Rare","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Perennial_grassland","Wet_forest","Wet_mesic_forest",830.7378,0.360498867979332,"Medium","Large","Medium","Medium","Large","Very_large","Small","Medium","Large","Large","Medium","Large","No","No","No","Yes","Medium","Medium","Few","Large","Small_decr_or_inc","Far","Medium","Large","Large","Medium","Medium","Medium","Large","Medium","Small","Small","Small","Small","Medium","Small","Small","Medium","Small","Small","Large","Small","Small","Medium","Large","Medium","Small","Medium","Medium","Medium","Medium"
"716","Ochrosia kauaiensis",717,"Dicot","Apocynaceae","Ochrosia","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_mesic_forest","Wet_mesic_forest","Decidious_shrubland","Perennial_grassland",86.8338,0.57051987728584,"Very_small","Small","Small","Small","Very_small","Small","Very_small","Very_small","Small","Small","Very_small","Very_small","No","No","No","No","Large","none","Few","Small","Large_decrease","Far","Small","Very_small","Small","Small","none","Small","Large","none","Small","Small","Small","none","Small","Medium","none","Medium","Small","none","Small","Large","Small","Large","Large","none","Medium","Medium","Medium","Medium","Medium"
